site_id,entity_id,ee_internal_id,acquisition_date,map_projection,projection_zone,datum,resolution,units,number_of_bands,sensor_type
US-xSR,M_3111010_NW_12_030_20231018,3346115,2023-10-18,UTM,12N,NAD83,0.30,METER,4,CNIR
US-xSR,M_3111010_NE_12_030_20231018,3346114,2023-10-18,UTM,12N,NAD83,0.30,METER,4,CNIR
US-xSR,M_3111009_NE_12_030_20231018,3346110,2023-10-18,UTM,12N,NAD83,0.30,METER,4,CNIR
US-xSR,M_3111001_SE_12_030_20231018,3346080,2023-10-18,UTM,12N,NAD83,0.30,METER,4,CNIR
US-xSR,M_3111001_NE_12_030_20231018,3346078,2023-10-18,UTM,12N,NAD83,0.30,METER,4,CNIR
US-xSR,M_3111002_SW_12_030_20231015,3346085,2023-10-15,UTM,12N,NAD83,0.30,METER,4,CNIR
US-xSR,M_3111002_SE_12_030_20231015,3346084,2023-10-15,UTM,12N,NAD83,0.30,METER,4,CNIR
US-xSR,M_3111002_NW_12_030_20231015,3346083,2023-10-15,UTM,12N,NAD83,0.30,METER,4,CNIR
US-xSR,M_3111002_NE_12_030_20231015,3346082,2023-10-15,UTM,12N,NAD83,0.30,METER,4,CNIR
US-xSR,M_3111009_NE_12_060_20211211,3100967,2021-12-11,UTM,12N,NAD83,0.60,METER,4,CNIR
US-xSR,M_3111001_SE_12_060_20211211,3100937,2021-12-11,UTM,12N,NAD83,0.60,METER,4,CNIR
US-xSR,M_3111001_NE_12_060_20211211,3100935,2021-12-11,UTM,12N,NAD83,0.60,METER,4,CNIR
US-xSR,M_3111010_NW_12_060_20211128,3100972,2021-11-28,UTM,12N,NAD83,0.60,METER,4,CNIR
US-xSR,M_3111010_NE_12_060_20211030,3100971,2021-10-30,UTM,12N,NAD83,0.60,METER,4,CNIR
US-xSR,M_3111002_SW_12_060_20211030,3100942,2021-10-30,UTM,12N,NAD83,0.60,METER,4,CNIR
US-xSR,M_3111002_SE_12_060_20211030,3100941,2021-10-30,UTM,12N,NAD83,0.60,METER,4,CNIR
US-xSR,M_3111002_NW_12_060_20211030,3100940,2021-10-30,UTM,12N,NAD83,0.60,METER,4,CNIR
US-xSR,M_3111002_NE_12_060_20211030,3100939,2021-10-30,UTM,12N,NAD83,0.60,METER,4,CNIR
US-xSR,M_3111009_NE_12_060_20190616,3043244,2019-06-16,UTM,12N,NAD83,0.60,METER,4,CNIR
US-xSR,M_3111001_SE_12_060_20190616,3043261,2019-06-16,UTM,12N,NAD83,0.60,METER,4,CNIR
US-xSR,M_3111001_NE_12_060_20190616,3043256,2019-06-16,UTM,12N,NAD83,0.60,METER,4,CNIR
US-xSR,M_3111010_NW_12_060_20190615,3043282,2019-06-15,UTM,12N,NAD83,0.60,METER,4,CNIR
US-xSR,M_3111010_NE_12_060_20190615,3043249,2019-06-15,UTM,12N,NAD83,0.60,METER,4,CNIR
US-xSR,M_3111002_SW_12_060_20190615,3043257,2019-06-15,UTM,12N,NAD83,0.60,METER,4,CNIR
US-xSR,M_3111002_SE_12_060_20190615,3043276,2019-06-15,UTM,12N,NAD83,0.60,METER,4,CNIR
US-xSR,M_3111002_NW_12_060_20190615,3043245,2019-06-15,UTM,12N,NAD83,0.60,METER,4,CNIR
US-xSR,M_3111002_NE_12_060_20190615,3043260,2019-06-15,UTM,12N,NAD83,0.60,METER,4,CNIR
US-xSR,M_3111010_NE_12_H_20170618,2504115,2017-06-18,UTM,12N,NAD83,0.60,METER,4,CNIR
US-xSR,M_3111002_NW_12_H_20170618,2504103,2017-06-18,UTM,12N,NAD83,0.60,METER,4,CNIR
US-xSR,M_3111002_NE_12_H_20170618,2504102,2017-06-18,UTM,12N,NAD83,0.60,METER,4,CNIR
US-xSR,M_3111001_NE_12_H_20170618,2504098,2017-06-18,UTM,12N,NAD83,0.60,METER,4,CNIR
US-xSR,M_3111010_NW_12_H_20170611,2504116,2017-06-11,UTM,12N,NAD83,0.60,METER,4,CNIR
US-xSR,M_3111009_NE_12_H_20170611,2504050,2017-06-11,UTM,12N,NAD83,0.60,METER,4,CNIR
US-xSR,M_3111002_SW_12_H_20170611,2504105,2017-06-11,UTM,12N,NAD83,0.60,METER,4,CNIR
US-xSR,M_3111001_SE_12_H_20170611,2504100,2017-06-11,UTM,12N,NAD83,0.60,METER,4,CNIR
US-xSR,M_3111002_SE_12_H_20170610,2504104,2017-06-10,UTM,12N,NAD83,0.60,METER,4,CNIR
US-xSR,M_3111010_NE_12_1_20150926,2033891,2015-09-26,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111002_SW_12_1_20150926,2033881,2015-09-26,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111002_SE_12_1_20150926,2033880,2015-09-26,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111002_NE_12_1_20150926,2033878,2015-09-26,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111010_NW_12_1_20150702,2033892,2015-07-02,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111009_NE_12_1_20150702,2033887,2015-07-02,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111001_SE_12_1_20150702,2033876,2015-07-02,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111001_NE_12_1_20150702,2033874,2015-07-02,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111002_NW_12_1_20150530,2033879,2015-05-30,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111010_NW_12_1_20130608,1549657,2013-06-08,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111009_NE_12_1_20130608,1549652,2013-06-08,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111002_SW_12_1_20130608,1549575,2013-06-08,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111002_NW_12_1_20130608,1549573,2013-06-08,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111001_SE_12_1_20130608,1549562,2013-06-08,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111001_NE_12_1_20130608,1549660,2013-06-08,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111010_NE_12_1_20130607,1549656,2013-06-07,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111002_SE_12_1_20130607,1549574,2013-06-07,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111002_NE_12_1_20130607,1549572,2013-06-07,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111010_NW_12_1_20100614,278510,2010-06-14,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111010_NE_12_1_20100614,278511,2010-06-14,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111009_NE_12_1_20100614,278515,2010-06-14,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111002_SW_12_1_20100614,278540,2010-06-14,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111002_SE_12_1_20100614,278541,2010-06-14,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111002_NW_12_1_20100614,278542,2010-06-14,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111002_NE_12_1_20100614,278543,2010-06-14,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111001_SE_12_1_20100614,278545,2010-06-14,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111001_NE_12_1_20100614,278547,2010-06-14,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111010_NW_12_1_20070625,1103512,2007-06-25,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111010_NE_12_1_20070625,1103511,2007-06-25,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111009_NE_12_1_20070625,1103507,2007-06-25,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111002_SW_12_1_20070625,1103484,2007-06-25,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111002_SE_12_1_20070625,1103483,2007-06-25,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111002_NW_12_1_20070625,1103482,2007-06-25,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111002_NE_12_1_20070625,1103481,2007-06-25,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111001_SE_12_1_20070625,1103479,2007-06-25,UTM,12N,NAD83,1.00,METER,4,CNIR
US-xSR,M_3111001_NE_12_1_20070625,1103477,2007-06-25,UTM,12N,NAD83,1.00,METER,4,CNIR
US-Wkg,M_3110917_NW_12_030_20231016,3345966,2023-10-16,UTM,12N,NAD83,0.30,METER,4,CNIR
US-Wkg,M_3110917_NE_12_030_20231016,3345965,2023-10-16,UTM,12N,NAD83,0.30,METER,4,CNIR
US-Wkg,M_3110909_SW_12_030_20231016,3345937,2023-10-16,UTM,12N,NAD83,0.30,METER,4,CNIR
US-Wkg,M_3110909_SE_12_030_20231016,3345936,2023-10-16,UTM,12N,NAD83,0.30,METER,4,CNIR
US-Wkg,M_3110917_NE_12_060_20220102,3100822,2022-01-02,UTM,12N,NAD83,0.60,METER,4,CNIR
US-Wkg,M_3110909_SE_12_060_20220102,3100793,2022-01-02,UTM,12N,NAD83,0.60,METER,4,CNIR
US-Wkg,M_3110917_NW_12_060_20211128,3100823,2021-11-28,UTM,12N,NAD83,0.60,METER,4,CNIR
